word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
survive,v.,Few small bookshops survived the arrival of online retailers.,survive on; barely survive; survive a crisis,"sur-(超過) + viv(活, 同 vivid/revive/survival) → 活過那個時間點",endure; last; outlive; withstand,AWL,Sublist 7,passive,存活、倖存,
thesis,n.,Her thesis argues that congestion charging is regressive.,a doctoral thesis; the central thesis; defend a thesis,希臘 tithenai「放置」(同 hypothesis/synthesis) → 擺出來的主張,dissertation; argument; proposition; claim,AWL,Sublist 7,passive,論文、論點,複數是 theses
topic,n.,Climate change is now a topic in almost every school subject.,a controversial topic; on the topic of; a topic sentence,希臘 topos「地方」(同 topography/utopia) → 談話落在哪個地方 → 主題,subject; issue; theme; matter,AWL,Sublist 7,passive,主題、話題,topic sentence（主題句）是每段第一句，Task 2 評分看這個
transmit,v.,The disease is transmitted through contaminated water.,transmit a signal; transmit a disease; transmit information,"trans-(橫越) + mit(送, 同 mission/submit/commit) → 送過去",send; pass on; convey; spread,AWL,Sublist 7,passive,傳送、傳播,
ultimate,adj.,The ultimate aim is to make the city carbon neutral by 2040.,the ultimate aim; the ultimate goal; ultimate responsibility,"ultim(最後, 拉丁 ultimus, 同 ultimatum) + -ate → 最後那一個",final; eventual; greatest; supreme,AWL,Sublist 7,passive,最終的,副詞 ultimately = 最終，很好用的結論連接詞
unique,adj.,Each city faces a unique combination of pressures.,a unique opportunity; unique to; absolutely unique,"un(一, 拉丁 unus, 同 unit/union/universe) + -ique → 只有一個",distinctive; one-of-a-kind; singular; unparalleled,AWL,Sublist 7,passive,獨特的,嚴格說 unique 沒有比較級，very unique 會被視為錯誤
visible,adj.,The effects of the drought are visible from space.,clearly visible; highly visible; barely visible,"vis(看, 同 vision/visit/supervise) + -ible → 看得到的",noticeable; apparent; observable; evident,AWL,Sublist 7,passive,看得見的、明顯的,
voluntary,adj.,"The scheme is voluntary, which explains the low participation rate.",voluntary work; on a voluntary basis; the voluntary sector,"volunt(意願, 拉丁 voluntas, 同 volunteer/volition) + -ary → 出於自己意願的",optional; willing; unpaid; elective,AWL,Sublist 7,passive,自願的、志願的,
abandon,v.,The company abandoned the project after two years of delays.,abandon a plan; abandon a project; be abandoned,古法語 a bandon「交由他人處置」→ 放手不管,give up; drop; desert; discard,AWL,Sublist 8,passive,放棄、拋棄,
accompany,v.,The rise in temperature was accompanied by a sharp fall in rainfall.,be accompanied by; accompany someone; accompanying notes,"ac-(朝向) + company(同伴, com-(一起) + pan(麵包)) → 一起吃飯的人 → 陪同",go with; escort; attend; come with,AWL,Sublist 8,passive,陪同、伴隨,Task 1 描述兩個變化同時發生：X was accompanied by Y
ambiguous,adj.,The wording of the question was ambiguous and confused candidates.,deliberately ambiguous; an ambiguous result; highly ambiguous,"ambi-(兩邊, 同 ambidextrous/ambition) + ag(驅動, 同 act/agent) → 往兩邊跑 → 兩種解讀",unclear; vague; equivocal; open to interpretation,AWL,Sublist 8,passive,模稜兩可的,
append,v.,A list of sources was appended to the end of the report.,append to; append a note; appended documents,"ap-(朝向) + pend(懸掛, 同 pendant/depend/suspend) → 掛在後面",add; attach; affix; tack on,AWL,Sublist 8,passive,附加、附錄,
appreciate,v.,Few commuters appreciate how much the subsidy costs the city.,fully appreciate; appreciate the difficulty; appreciate the value of,"ap-(朝向) + preci(價值, 同 price/precious) + -ate → 看出它的價值",understand; recognise; value; grasp,AWL,Sublist 8,passive,理解、重視,
arbitrary,adj.,The cut-off age of sixty-five is entirely arbitrary.,an arbitrary decision; purely arbitrary; arbitrary power,"arbitr(仲裁者, 同 arbitrate/arbiter) + -ary → 全憑仲裁者高興 → 隨意的",random; capricious; unjustified; subjective,AWL,Sublist 8,passive,任意的、武斷的,
automate,v.,Ports that automated early lost the most jobs.,automate a process; fully automated; automate production,"auto-(自己, 同 automatic/autonomy) + mat(思考、行動) + -ate → 讓它自己動",mechanise; computerise; streamline,AWL,Sublist 8,passive,自動化,
chart,n./v.,The chart shows electricity use in four countries between 2000 and 2020.,a bar chart; a pie chart; the chart shows,希臘 khartes「紙草紙」(同 card/charter) → 畫在紙上的圖表,graph; diagram; table; map,AWL,Sublist 8,passive,圖表,Task 1 開頭必用：The chart shows / illustrates...
clarify,v.,The minister was asked to clarify what the new rules actually mean.,clarify a point; clarify the situation; seek to clarify,"clar(清楚, 拉丁 clarus, 同 clear/declare) + -ify → 使變清楚",explain; make clear; elucidate; spell out,AWL,Sublist 8,passive,澄清、說明,
commodity,n.,Clean water is becoming a scarce commodity in the region.,a scarce commodity; commodity prices; a valuable commodity,"com-(一起) + mod(尺度, 同 mode/moderate) + -ity → 有標準規格、可以交易的東西",goods; product; resource; merchandise,AWL,Sublist 8,passive,商品、物資,
complement,n./v.,Online lessons complement classroom teaching rather than replacing it.,complement each other; a perfect complement; complement nicely,"com-(一起) + ple(填滿, 同 complete/supply/plenty) → 補上缺的那塊",supplement; go with; complete; enhance,AWL,Sublist 8,passive,補足、相輔相成,complement（補足）vs compliment（稱讚）—— 拼字題常考
conform,v.,All new buildings must conform to strict energy standards.,conform to; conform with; refuse to conform,con-(一起) + form(形狀) → 做成同一個形狀 → 遵守,comply; adhere; follow; fit in,AWL,Sublist 8,passive,遵守、符合,
contemporary,adj./n.,Contemporary art museums have become major tourist attractions.,contemporary society; contemporary art; a contemporary of,"con-(一起) + tempor(時間, 同 temporary/tempo) + -ary → 同一個時代的",modern; current; present-day; of the same era,AWL,Sublist 8,passive,當代的；同時代的人,
contradict,v.,The latest figures contradict the government's own forecasts.,contradict a claim; flatly contradict; contradict oneself,"contra-(相反, 同 contrast/contrary) + dict(說, 同 dictate/predict) → 說反話",dispute; refute; conflict with; deny,AWL,Sublist 8,passive,反駁、與…矛盾,
crucial,adj.,The first three years of life are crucial for language development.,a crucial role; crucial evidence; absolutely crucial,拉丁 crux「十字路口」(同 cross/crux) → 決定往哪走的關鍵點,vital; essential; critical; decisive,AWL,Sublist 8,passive,關鍵的,play a crucial role in 是 Task 2 高分搭配
currency,n.,A weak currency made imported food far more expensive.,foreign currency; a strong currency; gain currency,"curr(流動, 同 current/occur/course) + -ency → 在市面上流通的東西",money; legal tender; cash; acceptance,AWL,Sublist 8,passive,貨幣；流通,
denote,v.,"In the diagram, the dotted line denotes the projected figure.",denote a change; commonly denote; denote something,"de-(徹底) + not(記號, 同 note/notice/notion) → 明確標示出",indicate; signify; represent; mean,AWL,Sublist 8,passive,表示、代表,
detect,v.,The sensors can detect leaks long before they become visible.,detect a problem; early detection; hard to detect,"de-(去除) + tect(覆蓋, 同 protect/detective) → 把蓋子掀掉 → 察覺",discover; identify; spot; sense,AWL,Sublist 8,passive,偵測、察覺,
deviate,v.,The results deviate sharply from what the model predicted.,deviate from; deviate significantly; deviate from the norm,"de-(離開) + via(道路, 同 via/obvious/previous) + -ate → 走離原本的路",depart; diverge; stray; differ,AWL,Sublist 8,passive,偏離,
displace,v.,The dam displaced more than forty thousand villagers.,displaced people; displace workers; be displaced by,dis-(離開) + place(地方) → 從原地趕走,uproot; relocate; replace; oust,AWL,Sublist 8,passive,使遷離、取代,
drama,n.,Television drama remains the most watched genre among older viewers.,a television drama; a courtroom drama; high drama,希臘 dran「行動」(同 dramatic/drastic) → 演出來的行動,play; theatre; production; spectacle,AWL,Sublist 8,passive,戲劇,
eventual,adj.,The eventual cost was three times the original estimate.,the eventual outcome; eventual success; the eventual winner,"event(發生的事, e-(向外) + ven(來)) + -ual → 事情走完之後的",final; ultimate; resulting; end,AWL,Sublist 8,passive,最終的,副詞 eventually（最終）比形容詞更常用
exhibit,v./n.,Patients who exhibit these symptoms should be tested immediately.,exhibit symptoms; exhibit behaviour; on exhibit,"ex-(向外) + hib(握住, 同 prohibit/inhibit/habit) → 拿出來給人看",display; show; demonstrate; present,AWL,Sublist 8,passive,表現出、展出,
exploit,v./n.,Companies have been accused of exploiting migrant workers.,exploit resources; exploit workers; fully exploit,"ex-(向外) + ploit(摺疊, 拉丁 plicare, 同 employ/apply) → 攤開來用到極致",take advantage of; use; make use of; abuse,AWL,Sublist 8,passive,利用、剝削,exploit resources（開發資源）中性；exploit workers（剝削）負面
guideline,n.,The new guidelines recommend at least an hour of exercise a day.,follow guidelines; issue guidelines; official guidelines,guide(引導) + line(線) → 畫出來讓人照著走的線,recommendation; rule; standard; principle,AWL,Sublist 8,passive,指導方針,
highlight,v./n.,The report highlights the shortage of affordable housing.,highlight the need for; highlight a problem; the highlight of,high(高) + light(光) → 打光讓它突出來,emphasise; underline; draw attention to; stress,AWL,Sublist 8,passive,強調、突顯,Task 1 概述段很好用：The chart highlights...
implicit,adj.,There is an implicit assumption that everyone owns a smartphone.,an implicit assumption; implicit in; implicit trust,"im-(進入) + plic(摺疊, 同 imply/complex/apply) → 摺在裡面沒攤開",implied; unspoken; tacit; understood,AWL,Sublist 8,passive,隱含的,反義字 explicit（明確的）
induce,v.,Higher parking charges induced many drivers to switch to buses.,induce someone to; induce a change; induce sleep,"in-(進入) + duce(引導, 同 conduct/reduce/produce) → 引導進來",persuade; prompt; bring about; cause,AWL,Sublist 8,passive,促使、引發,
inspect,v.,Officials inspect every restaurant at least once a year.,inspect a site; closely inspect; inspect for damage,"in-(進入) + spect(看, 同 spectacle/respect/suspect) → 看進去 → 檢查",examine; check; survey; scrutinise,AWL,Sublist 8,passive,檢查、視察,
intense,adj.,Intense competition for places has pushed entry requirements higher.,intense competition; intense pressure; intense heat,"in-(進入) + tens(拉緊, 同 tension/extend/tense) → 繃到極緊",extreme; severe; fierce; acute,AWL,Sublist 8,passive,強烈的、激烈的,
manipulate,v.,Critics accused the newspaper of manipulating public opinion.,manipulate data; manipulate public opinion; easily manipulated,"manu(手, 同 manual/manufacture) + pl(填滿) + -ate → 用手操弄",control; influence; handle; distort,AWL,Sublist 8,passive,操控、操縱,
minimise,v.,Careful planning can minimise disruption to residents.,minimise the risk; minimise disruption; minimise costs,"minim(最小, 拉丁 minimus, 同 minimum/minor) + -ise → 使降到最小",reduce; cut; lessen; curtail,AWL,Sublist 8,passive,使最小化,美式拼 minimize；反義字 maximise
nuclear,adj.,Nuclear power supplies a fifth of the country's electricity.,nuclear power; nuclear energy; a nuclear plant,"nucle(核心, 拉丁 nucleus 果仁, 同 nucleus) + -ar → 關於原子核的",atomic; fission-based,AWL,Sublist 8,passive,核能的,
paragraph,n.,Each paragraph should begin with a clear topic sentence.,the opening paragraph; a topic sentence in a paragraph; the final paragraph,"para-(旁邊) + graph(書寫, 同 graphic/biography) → 旁邊做記號分出的段落",section; passage; block of text,AWL,Sublist 8,passive,段落,Task 2 的段落結構直接影響 Coherence 分數
plus,prep./n.,The fee covers tuition plus all course materials.,plus the cost of; a big plus; plus interest,拉丁 plus「更多」(同 plural/plenty/surplus) → 再加上,in addition to; and; with; advantage,AWL,Sublist 8,passive,加上；優點,
practitioner,n.,General practitioners refer patients to hospital specialists.,a general practitioner; a medical practitioner; experienced practitioners,"practi(實作, 同 practice/practical) + -tioner → 實際在做這行的人",professional; specialist; expert; clinician,AWL,Sublist 8,passive,從業人員、開業者,
predominant,adj.,Rice is the predominant crop in the southern provinces.,the predominant view; predominantly male; the predominant cause,"pre-(在前) + dominant(支配的, 同 dominate/domain) → 壓過其他的",main; prevailing; dominant; chief,AWL,Sublist 8,passive,佔多數的、主要的,副詞 predominantly 在 Task 1 描述比例時很好用
prospect,n.,Graduates face better job prospects than they did a decade ago.,job prospects; the prospect of; little prospect,"pro-(向前) + spect(看, 同 inspect/spectacle) → 往前看到的景象",outlook; possibility; chance; expectation,AWL,Sublist 8,passive,前景、可能性,
radical,adj./n.,Meeting the target will require radical changes to how we travel.,a radical change; radical reform; radically different,"radic(根, 拉丁 radix, 同 radish/eradicate) + -al → 動到根本的",fundamental; sweeping; drastic; extreme,AWL,Sublist 8,passive,根本的、激進的,
random,adj.,Participants were assigned to the two groups at random.,at random; a random sample; randomly selected,古法語 randon「猛衝」→ 沒有章法地衝 → 隨機,chance; arbitrary; haphazard; unplanned,AWL,Sublist 8,passive,隨機的,a random sample（隨機抽樣）是學術寫作常用
reinforce,v.,The findings reinforce earlier research on sleep and memory.,reinforce a message; reinforce stereotypes; reinforce the view,re-(再) + in-(使) + force(力量) → 再加一道力,strengthen; support; bolster; confirm,AWL,Sublist 8,passive,強化、加強,
restore,v.,Planting mangroves helped restore the damaged coastline.,restore confidence; restore a building; fully restore,"re-(再) + stor(建立, 拉丁 instaurare, 同 store/instaurate) → 再立起來",repair; renew; reinstate; bring back,AWL,Sublist 8,passive,恢復、修復,
revise,v.,The forecast was revised downwards twice in three months.,revise a figure; revise upwards; revise an estimate,"re-(再) + vis(看, 同 vision/supervise/visit) → 再看一次改一改",amend; update; rework; adjust,AWL,Sublist 8,passive,修訂、修正,Task 1 講數據被修正：revised upwards / downwards
schedule,n./v.,The line opened two years behind schedule.,behind schedule; ahead of schedule; a busy schedule,拉丁 schedula「小紙條」(同 cedula) → 寫在紙條上的時間表,timetable; plan; programme; agenda,AWL,Sublist 8,passive,時程表、安排,
tense,adj./n.,Relations between the two councils remain tense.,a tense situation; become tense; the past tense,拉丁 tendere「拉緊」(同 tension/extend/intense) → 繃緊的,strained; edgy; fraught; taut,AWL,Sublist 8,passive,緊張的；時態,
terminate,v.,The contract was terminated after repeated safety breaches.,terminate a contract; terminate an agreement; terminate early,"termin(界線, 拉丁 terminus, 同 terminal/determine) + -ate → 走到界線 → 結束",end; cancel; conclude; discontinue,AWL,Sublist 8,passive,終止,
theme,n.,Sustainability was the central theme of this year's conference.,the central theme; a recurring theme; a common theme,希臘 thema「擺出來的東西」(同 thesis/hypothesis) → 貫穿全文的主軸,subject; topic; motif; idea,AWL,Sublist 8,passive,主題,
thereby,adv.,"The scheme cut journeys by a fifth, thereby reducing emissions.",thereby reducing; thereby avoiding; thereby creating,there(那) + by(藉由) → 藉由那件事,thus; in that way; consequently; hence,AWL,Sublist 8,passive,藉此、因而,後面常接 V-ing，是把兩句合成一句的高分寫法
uniform,adj./n.,Rainfall is far from uniform across the country.,a uniform standard; uniform across; school uniform,"uni-(一, 同 unit/unique) + form(形狀) → 都同一個形狀",consistent; even; standard; unvarying,AWL,Sublist 8,passive,一致的；制服,
vehicle,n.,Electric vehicles accounted for a third of new sales last year.,a motor vehicle; electric vehicles; a vehicle for change,拉丁 vehere「運送」(同 convey/vector) + -icle → 載東西的工具,car; transport; means; medium,AWL,Sublist 8,passive,車輛；媒介,
via,prep.,Most applications are now submitted via the council's website.,via email; travel via; via the internet,拉丁 via「道路」(同 previous/obvious/deviate) → 經由某條路,through; by way of; by means of; using,AWL,Sublist 8,passive,經由、透過,
virtual,adj.,Virtual meetings have replaced most short business trips.,virtual reality; a virtual meeting; a virtual monopoly,"virtu(能力, 拉丁 virtus, 同 virtue) + -al → 實質上有效果的；引申為「模擬的」",simulated; online; near-total; effective,AWL,Sublist 8,passive,虛擬的；實際上的,a virtual monopoly = 實質上的壟斷，跟「虛擬」無關
visual,adj.,Visual aids help students remember far more of a lecture.,visual aids; visual impact; visually impaired,"vis(看, 同 vision/visible/supervise) + -ual → 靠眼睛的",optical; graphic; pictorial; seen,AWL,Sublist 8,passive,視覺的,
widespread,adj.,There is widespread support for banning single-use plastics.,widespread support; widespread damage; become widespread,wide(廣) + spread(散開) → 散得很開的,extensive; prevalent; common; far-reaching,AWL,Sublist 8,passive,普遍的、廣泛的,
accommodate,v.,The new terminal can accommodate twice as many passengers.,accommodate demand; accommodate visitors; accommodate different needs,"ac-(朝向) + com-(一起) + mod(尺度, 同 mode/moderate) → 調整尺度容納進來",hold; house; cater for; make room for,AWL,Sublist 9,passive,容納、配合,拼字注意：兩個 c、兩個 m —— 常考的拼錯字
analogy,n.,The author draws an analogy between the brain and a city's road network.,draw an analogy; by analogy; a useful analogy,"ana-(依照) + logos(比例、道理, 同 logic/-logy) → 依同樣的道理類比",comparison; parallel; likeness; metaphor,AWL,Sublist 9,passive,類比,
anticipate,v.,Planners failed to anticipate how quickly the suburb would grow.,anticipate a problem; widely anticipated; anticipate demand,"anti-(在前, 拉丁 ante) + cip(拿取, 同 capture/accept) + -ate → 事先先拿到手",expect; foresee; predict; forecast,AWL,Sublist 9,passive,預期、預料,
assure,v.,The minister assured residents that the plant was safe.,assure someone that; rest assured; assure quality,"as-(朝向) + sure(確定, 同 secure/ensure) → 讓某人放心",promise; reassure; guarantee; convince,AWL,Sublist 9,passive,向…保證,assure sb（讓人放心）／ensure sth（確保某事）／insure（投保）三個別混
attain,v.,Only a handful of countries have attained their emissions targets.,attain a goal; attain a level; attain a standard,"at-(朝向) + tain(觸及, 拉丁 tangere, 同 contact/tangible) → 碰到目標",achieve; reach; accomplish; obtain,AWL,Sublist 9,passive,達到、獲得,
behalf,n.,The lawyer spoke on behalf of all forty residents.,on behalf of; on someone's behalf; act on behalf of,be(在) + half(一邊) → 站在某人那一邊 → 代表,representation; interest; support,AWL,Sublist 9,passive,代表、為了…的利益,固定片語 on behalf of，幾乎不單獨使用
bulk,n.,The bulk of the funding went to just three universities.,the bulk of; in bulk; buy in bulk,古北歐語 bulki「船貨」→ 一大堆貨 → 大部分,majority; mass; greater part; volume,AWL,Sublist 9,passive,大部分、大量,the bulk of = 大多數，Task 1 描述比例很好用
cease,v.,Production ceased entirely after the factory flooded.,cease to exist; cease operations; cease trading,拉丁 cessare「停下」(同 cease/incessant) → 停住,stop; halt; end; discontinue,AWL,Sublist 9,passive,停止,
coherent,adj.,The country still lacks a coherent transport strategy.,a coherent argument; a coherent strategy; logically coherent,"co-(一起) + her(黏著, 同 adhere/inherent) + -ent → 黏得住、連得起來",logical; consistent; well-structured; unified,AWL,Sublist 9,passive,連貫的、有條理的,雅思寫作四個評分項之一就叫 Coherence and Cohesion
coincide,v.,The drop in sales coincided with the opening of the new mall.,coincide with; exactly coincide; coincide in time,"co-(一起) + in-(進入) + cid(落下, 同 accident/incident) → 同時落在一起",happen together; overlap; concur; match,AWL,Sublist 9,passive,同時發生、一致,
commence,v.,Construction is due to commence in the spring.,commence work; commence proceedings; commence in,"com-(一起) + initiare(開始, 同 initiate/initial) → 一起走出第一步",begin; start; get under way; initiate,AWL,Sublist 9,passive,開始,比 begin 正式，適合寫作不適合口說
compatible,adj.,Rapid growth is not compatible with meeting the climate target.,compatible with; fully compatible; mutually compatible,"com-(一起) + pat(感受、忍受, 同 patient/passion) + -ible → 能一起相處",consistent; suited; in keeping; harmonious,AWL,Sublist 9,passive,相容的、一致的,
concurrent,adj.,Two concurrent studies reached opposite conclusions.,concurrent sessions; run concurrently; concurrent with,"con-(一起) + curr(跑, 同 current/occur/course) + -ent → 同時在跑",simultaneous; parallel; co-occurring; at the same time,AWL,Sublist 9,passive,同時發生的,
confine,v.,The outbreak was confined to two districts in the north.,be confined to; confine oneself to; confine attention to,"con-(一起) + fin(界線, 同 finish/define/final) → 圈在界線裡",restrict; limit; contain; keep within,AWL,Sublist 9,passive,限制、侷限,
controversy,n.,The proposal sparked controversy among parents and teachers alike.,spark controversy; a source of controversy; surrounded by controversy,"contro-(相反, 同 contrary/contrast) + vers(轉, 同 version/reverse) → 兩邊轉向對立",dispute; debate; argument; disagreement,AWL,Sublist 9,passive,爭議,形容詞 controversial —— a controversial issue 是 Task 2 常用開頭
converse,v./n./adj.,The converse is also true: cheaper fares increase ridership.,the converse is true; converse with; conversely,"con-(一起) + vers(轉, 同 version/reverse) → 轉過來面對面談；也指「相反的情況」",opposite; reverse; talk; chat,AWL,Sublist 9,passive,相反的情況；交談,副詞 conversely = 反過來說，Task 2 對比很好用
device,n.,Most teenagers own at least three internet-connected devices.,a mobile device; a safety device; a device for,"de-(分開) + vis(看、分割, 同 divide/vision) → 設計出來分工用的東西",gadget; instrument; tool; appliance,AWL,Sublist 9,passive,裝置、設備,
devote,v.,The school devotes two hours a week to outdoor learning.,devote time to; devote resources to; be devoted to,"de-(徹底) + vot(發誓, 同 vote/vow) → 立誓全部投入",dedicate; commit; give over; allocate,AWL,Sublist 9,passive,投入、致力於,
diminish,v.,The advantage of an early start diminishes as children get older.,diminish over time; gradually diminish; diminishing returns,"di-(向下) + minu(變小, 拉丁 minus, 同 minor/minute) → 越變越小",decrease; decline; shrink; lessen,AWL,Sublist 9,passive,減少、削弱,diminishing returns（邊際效益遞減）是常見學術用語
distort,v.,Selective quotation distorts what the report actually said.,distort the facts; distort a picture; seriously distort,"dis-(離開) + tort(扭轉, 同 torture/torsion/contort) → 扭歪了",misrepresent; twist; warp; skew,AWL,Sublist 9,passive,扭曲、曲解,
duration,n.,The average duration of a hospital stay has halved since 1990.,the duration of; for the duration; a short duration,"dur(持續、堅硬, 同 durable/endure/during) + -ation → 持續多久",length; period; span; time,AWL,Sublist 9,passive,持續時間,
erode,v.,Rising rents have steadily eroded the incomes of young families.,erode confidence; gradually erode; erode the coastline,"e-(向外) + rod(咬, 拉丁 rodere, 同 rodent/corrode) → 一點一點咬掉",wear away; undermine; eat into; diminish,AWL,Sublist 9,passive,侵蝕、逐漸削弱,
ethic,n.,A strong work ethic is valued more than raw talent in the company.,a work ethic; a code of ethics; professional ethics,希臘 ethos「品格、習俗」(同 ethos/ethical) → 做人做事的準則,moral code; principles; values; standards,AWL,Sublist 9,passive,倫理、道德準則,
format,n./v.,The exam has kept the same format for over a decade.,the same format; change the format; in digital format,拉丁 formatus「被塑形的」(同 form/formal) → 定下來的樣式,layout; structure; arrangement; design,AWL,Sublist 9,passive,格式、形式,
found,v.,The charity was founded by a group of retired teachers.,found an organisation; be founded on; founded in 1890,拉丁 fundus「底部」(同 fund/fundamental/foundation) → 打下地基 → 創辦,establish; set up; start; create,AWL,Sublist 9,passive,創辦、建立,found（創辦）的過去式是 founded；跟 find 的過去式 found 只是同形
inherent,adj.,There are inherent risks in relying on a single supplier.,inherent risk; inherent in; an inherent problem,"in-(在裡面) + her(黏著, 同 adhere/coherent) + -ent → 天生黏在裡面的",intrinsic; built-in; innate; essential,AWL,Sublist 9,passive,固有的、內在的,
insight,n.,The interviews gave researchers real insight into why people stopped cycling.,gain insight into; provide insight; valuable insight,in(進入) + sight(視力) → 看進事情內部,understanding; perception; grasp; awareness,AWL,Sublist 9,passive,洞察、見解,
integral,adj.,Field trips are an integral part of the geography course.,an integral part; integral to; form an integral role,"integr(完整, 同 integrate/entire/integrity) + -al → 少了它就不完整",essential; fundamental; built-in; indispensable,AWL,Sublist 9,passive,不可或缺的,
intermediate,adj.,Students at intermediate level need very different materials.,intermediate level; an intermediate stage; intermediate between,"inter-(之間) + medi(中間, 同 medium/median) + -ate → 卡在兩者中間的",middle; midway; transitional; in-between,AWL,Sublist 9,passive,中級的、中間的,
manual,adj./n.,Manual jobs have declined faster than office work.,manual labour; a manual worker; a user manual,"manu(手, 拉丁 manus, 同 manufacture/manuscript) + -al → 用手的",hand-operated; physical; handbook; guide,AWL,Sublist 9,passive,手工的；手冊,
mature,adj./v.,Mature students often outperform school leavers in their first year.,a mature student; emotionally mature; mature into,拉丁 maturus「成熟的」(同 premature) → 長好了的,grown-up; developed; ripe; seasoned,AWL,Sublist 9,passive,成熟的,
mediate,v.,The union asked an independent body to mediate in the dispute.,mediate a dispute; mediate between; mediate in,"medi(中間, 同 medium/median/intermediate) + -ate → 站中間喬事情",arbitrate; intervene; reconcile; negotiate,AWL,Sublist 9,passive,調解、居中協調,
medium,n./adj.,Radio remains the most trusted news medium in rural areas.,a medium of communication; medium-sized; through the medium of,拉丁 medius「中間的」(同 media/median/mediate) → 中間的傳遞者,channel; means; vehicle; middle,AWL,Sublist 9,passive,媒介；中等的,複數 media（媒體）或 mediums（靈媒），意思不同
military,adj./n.,Military spending rose while health budgets were frozen.,military spending; military service; the military,"milit(士兵, 拉丁 miles, 同 militant/militia) + -ary → 關於軍隊的",armed; martial; defence; armed forces,AWL,Sublist 9,passive,軍事的,
minimal,adj.,The change had minimal effect on journey times.,minimal impact; minimal cost; keep to a minimal level,"minim(最小, 同 minimum/minimise/minor) + -al → 最小程度的",negligible; slight; tiny; marginal,AWL,Sublist 9,passive,極少的,
mutual,adj.,The agreement was reached by mutual consent.,mutual benefit; mutual respect; by mutual agreement,拉丁 mutuus「互換的」(同 mutate/commute) → 兩邊互相的,reciprocal; shared; joint; two-way,AWL,Sublist 9,passive,互相的、共同的,
norm,n.,Working from home has become the norm in many industries.,become the norm; social norms; cultural norms,拉丁 norma「木匠的角尺」(同 normal/enormous) → 拿來量的標準,standard; convention; rule; average,AWL,Sublist 9,passive,常態、規範,
overlap,v./n.,The two studies overlap considerably in their methods.,overlap with; considerable overlap; partly overlap,over(在上面) + lap(疊) → 疊在一起的部分,coincide; intersect; cover; share,AWL,Sublist 9,passive,重疊,
passive,adj.,Watching television is a passive activity compared with reading.,passive smoking; a passive role; remain passive,"pass(承受, 拉丁 pati, 同 patient/passion/compassion) + -ive → 只承受不主動",inactive; unresponsive; submissive; receptive,AWL,Sublist 9,passive,被動的,這個 App 的 passive/active 卡片分類就是用這組概念
portion,n.,A large portion of the budget goes on maintenance alone.,a large portion; a significant portion; a portion of,拉丁 portio「份額」(同 proportion/proportional) → 分到的一份,part; share; segment; proportion,AWL,Sublist 9,passive,部分、份額,
preliminary,adj.,Preliminary results suggest the treatment is safe.,preliminary results; a preliminary study; preliminary findings,"pre-(事先) + limin(門檻, 拉丁 limen, 同 eliminate/subliminal) → 還在門檻前的",initial; introductory; early; provisional,AWL,Sublist 9,passive,初步的,
protocol,n.,Hospitals follow a strict protocol for handling infectious waste.,follow a protocol; a strict protocol; a research protocol,"希臘 proto-(第一, 同 prototype) + kolla(膠) → 黏在卷首的第一頁 → 規程",procedure; rules; guidelines; etiquette,AWL,Sublist 9,passive,規程、協定,
qualitative,adj.,Interviews provide qualitative data that surveys cannot capture.,qualitative research; qualitative data; a qualitative difference,"qual(性質, 同 quality/qualify) + -itative → 關於「是什麼樣」而非「有多少」",descriptive; non-numerical; interpretive,AWL,Sublist 9,passive,質性的,跟 quantitative（量化的）是研究方法的一組對照
refine,v.,The model was refined after three rounds of testing.,refine a model; further refine; refine a technique,re-(再) + fine(精細) → 再弄得更精細,improve; polish; perfect; purify,AWL,Sublist 9,passive,改良、精煉,
relax,v.,The city relaxed parking restrictions during the festival.,relax the rules; relax restrictions; relax a policy,"re-(再) + lax(鬆, 拉丁 laxus, 同 release/lax) → 放鬆",ease; loosen; unwind; soften,AWL,Sublist 9,passive,放鬆、放寬,
restrain,v.,Higher interest rates restrained borrowing but also slowed building.,restrain growth; restrain spending; restrain oneself,"re-(往回) + strain(拉緊, 同 strict/constrain/restrict) → 往回拉住",hold back; curb; check; limit,AWL,Sublist 9,passive,抑制、約束,
revolution,n.,The digital revolution transformed how newspapers are funded.,the industrial revolution; a digital revolution; spark a revolution,"re-(再) + volv(捲動, 同 revolve/evolve/involve) + -ution → 整個翻轉一圈",upheaval; transformation; overthrow; radical change,AWL,Sublist 9,passive,革命、劇變,
rigid,adj.,Rigid timetables leave teachers little room to respond to their classes.,a rigid structure; rigid rules; overly rigid,拉丁 rigere「僵硬」(同 rigour/rigorous) → 硬得彎不動,inflexible; strict; stiff; unbending,AWL,Sublist 9,passive,僵化的、嚴格的,反義字 flexible —— 兩個常在同一題出現
route,n./v.,The new bus route connects the suburb directly to the hospital.,a bus route; the quickest route; route traffic,拉丁 rupta via「打通的路」(同 rupture/route) → 走的路線,path; way; course; itinerary,AWL,Sublist 9,passive,路線,
scenario,n.,"In the worst-case scenario, sea levels rise by a full metre.",a worst-case scenario; a likely scenario; under this scenario,義大利文 scenario「舞台布景」(同 scene/scenic) → 一齣戲的劇本 → 設想的情況,situation; case; outlook; possibility,AWL,Sublist 9,passive,情境、設想的情況,
